,Rank,Release Group,Worldwide,Domestic,%,Foreign,%,imdb_id,movieDB_id,cast name and character
0,1,Spider-Man: No Way Home,"$1,867,810,538","$787,810,538",42.2%,"$1,080,000,000",57.8%,tt10872600,634649.0,"Tom Holland: Peter Parker / Spider-Man
Zendaya: Michelle 'MJ' Jones
Benedict Cumberbatch: Stephen Strange / Doctor Strange
Jacob Batalon: Ned Leeds
Jon Favreau: Harold 'Happy' Hogan
Jamie Foxx: Max Dillon / Electro
Willem Dafoe: Norman Osborn / Green Goblin
Alfred Molina: Dr. Otto Octavius / Doctor Octopus
Benedict Wong: Wong
Tony Revolori: Eugene 'Flash' Thompson
Marisa Tomei: May Parker
Andrew Garfield: Peter Parker / Spider-Man
Tobey Maguire: Peter Parker / Spider-Man
Angourie Rice: Betty Brant
Arian Moayed: Agent Cleary
Paula Newsome: MIT Assistant Vice Chancellor
Hannibal Buress: Coach Wilson
Martin Starr: Mr. Harrington
J.B. Smoove: Mr. Dell
J.K. Simmons: J. Jonah Jameson
Rhys Ifans: Dr. Curt Connors / The Lizard
Charlie Cox: Matt Murdock
Thomas Haden Church: Flint Marko / Sandman
Haroon Kahn: Apprentice
Emily Lue Fong: Apprentice
Mary Rivera: Ned's Lola
Rudy Eisenzopf: Arena Bystander
Kathleen Cardoso: Arena Bystander
Jonathan Sam: Arena Bystander
Andrew Dunlap: Dad in Car
Ben VanderMey: Man in Car
Zany Dunlap: Mom in Car
B. Clutch Dunlap: Kid in Car
Minnah Dunlap: Kid in Car
Gary Weeks: Agent Foster
Gregory Konow: Donut Shop Boss
Carol Anne Dines: Donut Shop Waitress
Anisa Nyell Johnson: School Security Guard
Willie Burton: May's Neighbor
Mallory Hoff: Reporter
Greg Clarkson: Reporter
Regina Ting Chen: Reporter
Robert Mitchel Owenby: Daily Bugle Lackey
Glenn Keogh: British Reporter
Paris Benjamin: British Anchor
Jwaundace Candece: Damage Control Agent
Taylor St. Clair: Protestor
Gabriella Cila: Crowd Member
Darnell Appling: Crowd Member
Rolando Fernandez: Crowd Member
Edward Force: Donut Shop Patron
Michael Le: Guy with Phone
Dean Meminger: NY1 Reporter
Frederick A. Brown: Fred the Janitor
Cristo Fernández: Bartender
Clay Savage: Suit Voice (voice)
Tom Hardy: Eddie Brock / Venom (uncredited)
Jake Gyllenhaal: Mysterio / Quentin Beck (archive footage) (uncredited)
Jay Karales: Bodega Customer
"
1,2,The Battle at Lake Changjin,"$902,540,935","$342,411",<0.1%,"$902,198,524",100%,tt13462900,779029.0,"Wu Jing: 伍千里
Jackson Yee: 伍万里
Duan Yihong: 谈子为
Yawen Zhu: 梅生
Jerry Lee: 余从戎
Zhang Hanyu: 宋时轮
Hu Jun: 雷公 / 雷睢生
Elvis Han: 平河
Li Mincheng: 柯大川
Oho Ou: 杨根思
Shi Pengyuan: 张小山
Huang Xuan: 毛岸英
Guoqiang Tang: 毛泽东
Liu Jin: 周恩来
Lu Qi: 邓小平
Zhou Xiaobin: 彭德怀
Wang Wufu: 朱德
Liu Sha: 刘少奇
Yang Yiwei: 何长贵
Lin Yongjian: 邓华
Geng Le: 老杨 / 杨营长
Shi Haozheng: 高大山
Wang Ning: 张师长
Wang Tonghui: 
Li Weiyong: Platoon Leader Li Zhen
Guo Siming: Squad Leader Liang Youdi
Zhao Yihan: Wang Kai
Bai Xuanshuo: Long Guoqing
James Filbird: Douglas MacArthur
Steven John Venn: Commander Wilber Colbert
Yi Gang: Deputy Commander Hong Xuezhi
Wu Weidong: Peng Zhen
Ryan Zheng Kai: 
Zhang Guoli: 
Zhang Jiayi: 
"
2,3,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%,tt0065836,42589.0,"Robert De Niro: Jon Rubin
Jennifer Salt: Judy Bishop
Allen Garfield: Joe Banner
Charles Durning: Superintendent
Lara Parker: Jeannie Mitchell
Abraham Goren: Pervert
Bruce Price: Jimmy Mitchell
Ricky Parker: Ricky Mitchell
Andy Parker: Andy Mitchell
Paul Bartel: Uncle Tom Wood
Gerrit Graham: Gerrit Wood
Nelson Peltz: Playboy
Robbie Heywood: Roommate
Leslie Bornstein: Roommate
Peter Maloney: Pharmacist
Rutanya Alda: 'Be Black Baby' Audience
"
3,4,No Time to Die,"$774,153,007","$160,891,007",20.8%,"$613,262,000",79.2%,tt2382320,370172.0,"Daniel Craig: James Bond
Léa Seydoux: Dr. Madeleine Swann
Rami Malek: Lyutsifer Safin
Lashana Lynch: Nomi
Ralph Fiennes: M
Ben Whishaw: Q
Naomie Harris: Eve Moneypenny
Rory Kinnear: Bill Tanner
Jeffrey Wright: Felix Leiter
Billy Magnussen: Logan Ash
Christoph Waltz: Ernst Stavro Blofeld
David Dencik: Valdo Obruchev
Ana de Armas: Paloma
Dali Benssalah: Primo (Cyclops)
Lisa-Dorah Sonnet: Mathilde
Coline Defaud: Young Madeleine
Mathilde Bourbin: Madeleine's Mother
Hugh Dennis: Dr. Hardy
Priyanga Burford: Dr. Symes
Joe Grossi: Hotel Porter
Nicola Olivieri: Cemetery Caretaker
Pio Amato: Cemetery Attendant
Javone Prince: MI6 Security Guard
Davina Moon: Madeleine's Receptionist
Brigitte Millar: Vogel
Coco Sumner: Bodyguard
Michael Herne: Spectre Guest
Lourdes Faberes: Spectre Agent
Gordon Alexander: Lab Technician
Andrei Nova: Bunker Guard
Gediminas Adomaitis: Blofeld's Right Hand Man
Amy Morgan: Alison Smith
Lizzie Winkler: Sarah Jones
Andy Cheung: Chinese Businessman
Hayden Phillips: Sir Sebastian D'ath
Rae Lim: Spectre Agent
Steve Barnett: Spectre Agent
Tuncay Gunes: Spectre Agent
Clem So: Spectre Agent
Denis Khoroshko: Spectre Agent
Philip Philmar: Spectre Agent
Raymond Waring: Spectre Agent
Eliot Sumner: Spectre Guard
Rod Hunt: Spectre Guard
Ahmed Bakare: Spectre VIP Guest
Douglas Bunn: Spectre Member
Toby Sauerback: Guard
Julian Ferro: MI6 Security Guard
David Olawale Ayinde: Spectre Party Guest
Zoltan Rencsar: Spectre Bodyguard
Ross Donnelly: Hotel Guest
John Farrer: Card Player
Paul O'Kelly: Safin Henchman
Michael G. Wilson: Spectre Party Guest
"
4,5,F9: The Fast Saga,"$726,229,501","$173,005,945",23.8%,"$553,223,556",76.2%,tt5433138,385128.0,"Vin Diesel: Dominic Toretto
Michelle Rodriguez: Letty Ortiz
Tyrese Gibson: Roman Pearce
Ludacris: Tej Parker
John Cena: Jakob Toretto
Nathalie Emmanuel: Ramsey
Jordana Brewster: Mia Toretto
Sung Kang: Han Lue
Michael Rooker: Buddy
Helen Mirren: Magdalene 'Queenie' Shaw
Kurt Russell: Mr. Nobody
Charlize Theron: Cipher
Cardi B: Leysa
Anna Sawai: Elle
Lucas Black: Sean Boswell
Shad Moss: Twinkie
Jason Tobin: Earl Hu
Thue Ersted Rasmussen: Otto
Don Omar: Rico Santos
Shea Whigham: Agent Stasiak
Vincent Sinclair Diesel: Younger Dom
Finn Cole: Young Jakob
Vinnie Bennett: Young Dom
J. D. Pardo: Jack Toretto
Jim Parrack: Kenny Linder
Lex Elle: Sergeant Reyes
Krzysztof  Mardula: Thug
Amber Sienna: Interpol
Martyn Ford: Lieutenant Sue
Albert Giannitelli: Technician
Ozuna: Young Santos
Méghane De Croock: Otto's Entourage
Bad Bunny: Lookout
Siena Agudong: Young Mia
Isaac Holtane: Little Brian
Immanuel Holtane: Little Brian
Azia Dinea Hale: Young Letty
Juju Zhang: Young Elle
Karson Kern: Young Vince
Igby Rigney: Young Jesse
Sophia Tatum: Racer Chick
Francis Ngannou: Ferocious Professional
Cered: Young Leo
Oqwe Lin: 'Hey' Kid
Bill Simmons: Linder Pit Crew
Luka Hays: Deputy
Jimmy Lin: Lookout
Jason Statham: Deckard Shaw (uncredited)
"
5,6,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%,tt10370822,602666.0,"Baoqiang Wang: Tang Ren
Liu Haoran: Qin Feng
Satoshi Tsumabuki: Noda Hiroshi
Tony Jaa: Jack Jaa
Masami Nagasawa: Kobayashi Anna
Tomokazu Miura: Watanabe
Shang Yuxian: Kiko
Xiao Yang: Song Yi
Roy Chiu: Lin Mo
Janine Chang: Ivy
Cheng Xiao: Lu Jingjing
Zhang Zifeng: Si Nuo
Shota Sometani: 
铃木保奈美: 
Tadanobu Asano: 
Zhang Xiran: 
Janice Man: Lin nai
Li Mingxuan: Liu Feng
Yoshiki Oneda: 
"
6,7,Venom: Let There Be Carnage,"$502,050,366","$213,550,366",42.5%,"$288,500,000",57.5%,tt7097896,580489.0,"Tom Hardy: Eddie Brock / Venom
Woody Harrelson: Cletus Kasady / Carnage
Michelle Williams: Anne Weying
Naomie Harris: Frances Louise Barrison / Shriek
Reid Scott: Dr. Dan Lewis
Stephen Graham: Detective Mulligan
Peggy Lu: Mrs. Chen
Sian Webber: Dr. Pazzo
Michelle Greenidge: Mugging Victim
Rob Bowen: Beaten Mugger
Laurence Spellman: Patient
Little Simz: Little Simz
Jack Bandeira: Young Cletus
Olumide Olorunfemi: Young Shirek
Scroobius Pip: Siegfried
Amrou Al-Kadhi: Host Two
Beau Sargent: Host Three
Brian Copeland: Rodeo Beach Reporter
Stewart Alexander: Warden
Sean Delaney: Young Detective Mulligan
Ed Kear: Reveler
Emma Lau: Reveler
Louis j Rhone: Reveler
Christopher Godwin: Headmaster (1997)
Tiffanie Thomas: San Quentin Tier Guard
Rocky Capella: Valet Car Park
Sam Robinson: San Quentin Guard
Greg Lockett: San Francisco Police Department Officer
Sonny Ashbourne Serkis: Plunger Man
Otis Winston: Street Man
Vaughn Johseph: Tie Down Guard
Kristen Simoes: TV Reporter - San Quentin
Miguel Angel Arreguin: Gas Station Attendant
Shaliz Afshar: San Francisco Reporter
Reece Shearsmith: Priest
Simon Connolly: Grieving Father
Rachel Handshaw: Grieving Mother
Amanda Foster: Victim's Sister
Akie Kotabe: Victim's Brother
Eric Sigmundsson: Startled Witness
Chabris Napier-Lawrence: Ravenscroft Guard
Larry Olubamiwo: Ravenscroft Guard
Jose Palma: San Quentin Last Meal Guard
Ashlen Aquila: San Quentin Last Meal Guard
Jamal Ajala: Ravenscroft Orderly
James D. Weston II: San Quentin Commander
Che Amaro: San Quentin Guard
Joshua Eldridge-Smith: Sympathetic Guard
Rosie Marcel: Detective in Bathroom
Elliot Cable: Host Pre Carnival #1
J.K. Simmons: J. Jonah Jameson (uncredited)
Tom Holland: Peter Parker / Spider-Man (uncredited)
"
7,8,Godzilla vs. Kong,"$468,216,094","$100,916,094",21.6%,"$367,300,000",78.4%,tt5034838,399566.0,"Alexander Skarsgård: Dr. Nathan Lind
Millie Bobby Brown: Madison Russell
Rebecca Hall: Dr. Ilene Andrews
Brian Tyree Henry: Bernie Hayes
Shun Oguri: Ren Serizawa
Eiza González: Maia Simmons
Julian Dennison: Josh Valentine
Lance Reddick: Guillermin
Kyle Chandler: Mark Russell
Demián Bichir: Walter Simmons
Kaylee Hottle: Jia
Hakeem Kae-Kazim: Admiral Wilcox
Ronny Chieng: Jay Wayne
John Pirruccello: Horace
Chris Chalk: Ben
Conlan Casal: Apex Cybernetics Security Guard
Brad McMurray: Apex Cybernetics Security Guard
Benjamin Rigby: Sonar Operator
Nick Turello: Apex Cybernetics Armed Guard
Daniel Nelson: Hayworth
Priscilla Doueihy: Monarch Mission Tech
Kei Kudo: HEAV Pilot
Bradd Buckley: HEAV Pilot
John Walton: HEAV Co-Pilot
Daniel Tuiara: HEAV Co-Pilot
David Castillo: Maia Apex Cybernetics Guard
Kofi Yiadom: Maia Apex Cybernetics Guard
Jim Palmer: Maia Apex Cybernetics Guard
Drew Walton: David Lind (uncredited)
Tara Wraith: Monarch Flight Crew (uncredited)
Jason Virgil: Bartender (uncredited)
Grisel Toledo: Apex Guard (uncredited)
Jason Szabo: Monarch Tactical Guard
Jason Speer: Monarch Board Member (uncredited)
Sen Shao: Thug (uncredited)
Scott M. Schewe: Fisherman (uncredited)
Charles Sans: Apex Guard (uncredited)
Tasneem Roc: Reporter (uncredited)
Jon Quested: Construction Worker (uncredited)
Joel Pierce: Monarch Tech #2 (uncredited)
Sofia Nolan: Mean Girl (uncredited)
Shawn McBride: Fisherman (uncredited)
Clay Mason: Refugee (uncredited)
Victoria Liu: HEAV Pilot #3 (uncredited)
Sonny Le: Thug (uncredited)
Santi Lawson: Apex Lab Tech (uncredited)
Garreth Hadfield: U.S. Navy Guard (uncredited)
"
8,9,Shang-Chi and the Legend of the Ten Rings,"$432,243,292","$224,543,292",51.9%,"$207,700,000",48.1%,tt9376612,566525.0,"Simu Liu: Shaun / Shang-Chi
Tony Leung Chiu-wai: Xu Wenwu / The Mandarin
Awkwafina: Katy Chen
Meng'er Zhang: Xu Xialing
Fala Chen: Ying Li
Michelle Yeoh: Ying Nan
Yuen Wah: Master Guang Bo
Ben Kingsley: Trevor Slattery
Florian Munteanu: Razor Fist
Andy Le: Li Ching-Lin / Death Dealer
Paul He: Chancellor Hui
Jayden Tianyi Zhang: Young Shang-Chi
Elodie Fong: Young Xialing
Arnold Sun: Teen Shang-Chi
Stephanie Hsu: Soo
Kunal Dudheker: John
Tsai Chin: Waipo
Jodi Long: Mrs. Chen
Dallas Liu: Ruihua
Ronny Chieng: Jon Jon
Daniel Liu: BMW Driver
Stella Ye: Yuchen
Fernando Chien: Gao Lei
Michael-Anthony Taylor: Bus Driver
Zach Cherry: Clev
Raymond Ma: Gang Leader
Lau Ga-Yung: Wenwu's Captain
Johnny Carr: Wenwu's Driver
Harmonie He: Teen Xialing
Lydia Sarks: Flight Attendant
Dee Bradley Baker: Morris (voice)
Benedict Wong: Wong
Jade Xu: Widow
Tim Roth: Emil Blonsky / Abomination (voice) (uncredited)
Mark Ruffalo: Bruce Banner / Hulk (uncredited)
Brie Larson: Carol Danvers / Captain Marvel (uncredited)
David Chea: Bus Goon (uncredited)
Bingchen Ye: Archer Warrior / Assassin (uncredited)
"
9,10,Eternals,"$402,064,899","$164,870,234",41%,"$237,194,665",59%,tt9032400,524434.0,"Gemma Chan: Sersi
Richard Madden: Ikaris
Angelina Jolie: Thena
Kumail Nanjiani: Kingo
Barry Keoghan: Druig
Lauren Ridloff: Makkari
Lia McHugh: Sprite
Brian Tyree Henry: Phastos
Ma Dong-seok: Gilgamesh
Salma Hayek: Ajak
Kit Harington: Dane Whitman
Harish Patel: Karun
David Kaye: Arishem (voice)
Bill Skarsgård: Kro (voice)
Haaz Sleiman: Ben
Esai Daniel Cross: Jack
Alan Scott: Patrick
Hannah Dodd: Sandra
Adria Escudero: Diego
Sebastián Viveros: Jano
Nikkita Chadha: Bollywood Star
Grahame Fox: Kro On-Set Reader
Zain Al Rafeea: Mesopotamian Young Man
Alberto Rodríguez: Mesopotamian Father
Lucia Efstathiou: Natural History Museum Student
Derek Horsham: Ancient Babylon Smuggler #1
Jeff Mirza: Gupta Hindu Priest
Ascension Martinez Rubio: Mesopotamian Grandmother
Ozer Ercan: Ancient Babylon Smuggler #2
Ariadna Vadillo Soto: Ancient Babylon Farmer
Orson Rosenberg: Aztec Child
Harry Styles: Eros / Starfox
Patton Oswalt: Pip the Troll (voice)
Brenda Lorena Garcia: Babylon Villager (uncredited)
Sebastian Senior: Passerby (uncredited)
Chloe Stannage: Girl (uncredited)
Mahershala Ali: Eric Brooks / Blade (voice) (uncredited)
"
